node_id,activation_time_ms
0,168.1537
1,148.9251
2,170.8135
3,171.4597
4,176.4430
5,144.0136
6,153.2379
7,145.3742
8,164.3160
9,147.8264
10,165.6861
11,147.2124
12,140.8321
13,152.1687
14,147.5995
15,175.2231
16,171.6729
17,160.7957
18,172.8963
19,156.5041
20,165.9895
21,168.7074
22,140.1304
23,140.6362
24,155.7891
25,145.1004
26,159.1764
27,170.0434
28,154.2707
29,149.5599
30,160.2449
31,162.1495
32,144.2031
33,161.2975
34,133.2129
35,160.0163
36,159.0906
37,170.1915
38,141.8419
39,171.7555
40,152.1307
41,143.0075
42,148.9010
43,142.3647
44,137.9246
45,159.4557
46,159.5422
47,178.0259
48,171.2941
49,149.1522
50,168.5048
51,164.5436
52,158.6794
53,159.7780
54,175.0476
55,160.4171
56,160.7446
57,149.4140
58,157.8356
59,147.4797
60,167.5173
61,162.7158
62,167.8608
63,150.1959
64,164.5295
65,170.7256
66,171.3130
67,150.4942
68,151.5257
69,143.5675
70,146.3207
71,168.4506
72,177.2432
73,153.4575
74,147.3285
75,168.9324
76,151.2108
77,168.4289
78,170.2868
79,169.6172
80,145.9771
81,150.9442
82,152.1772
83,158.6429
84,162.3599
85,144.6211
86,152.1117
87,134.8918
88,173.4973
89,164.3572
90,145.3632
91,167.3986
92,179.0997
93,162.0454
94,171.3628
95,158.1627
96,172.1031
97,172.3032
98,168.9615
99,147.6722
100,172.1329
101,172.2765
102,172.1513
103,164.9686
104,148.0129
105,162.4881
106,155.7096
107,162.3708
108,147.1366
109,145.8637
110,152.3732
111,154.6063
112,170.7192
113,169.9649
114,163.2074
115,153.7443
116,158.4846
117,166.3624
118,166.6914
119,139.6591
120,164.1882
121,172.4012
122,155.0491
123,158.1844
124,152.5144
125,168.0791
126,148.0291
127,148.2693
128,145.9365
129,158.7850
130,140.4034
131,143.4101
132,145.7046
133,142.5611
134,170.2908
135,146.8710
136,162.6922
137,141.0260
138,157.5572
139,148.1554
140,138.0826
141,153.1743
142,177.7699
143,162.3690
144,171.3590
145,157.0786
146,171.9440
147,169.1576
148,169.3912
149,156.2939
150,137.6942
151,157.9356
152,156.1085
153,153.4561
154,142.4381
155,147.6465
156,150.9302
157,147.7569
158,168.7436
159,163.0172
160,144.4232
161,171.4953
162,160.5775
163,151.5283
164,161.4148
165,154.6145
166,151.9452
167,141.7529
168,165.6683
169,151.3272
170,167.8477
171,147.5360
172,164.0255
173,153.7490
174,163.8344
175,168.1127
176,146.2506
177,164.1133
178,175.1087
179,153.2887
180,163.8818
181,154.9305
182,158.2080
183,147.1219
184,174.5479
185,170.4902
186,147.4595
187,153.1203
188,145.9464
189,136.5264
190,161.4237
191,159.4838
192,140.7379
193,152.3977
194,160.8618
195,157.3292
196,149.6128
197,146.6901
198,144.2638
199,144.1656
200,145.8176
201,153.4444
202,154.7366
203,156.4547
204,157.2158
205,173.3558
206,163.3272
207,175.1448
208,152.1173
209,150.7184
210,152.8499
211,144.6500
212,162.7278
213,163.7775
214,171.9464
215,175.0761
216,152.0280
217,178.8255
218,163.0210
219,139.4461
220,168.1307
221,161.6053
222,162.3290
223,156.6885
224,155.3186
225,154.7775
226,172.6460
227,157.4418
228,158.4951
229,171.6580
230,170.5489
231,177.4022
232,151.0909
233,139.5478
234,153.6121
235,142.3295
236,170.9332
237,167.8104
238,146.2192
239,154.6850
240,158.4173
241,156.6972
242,160.3219
243,163.5733
244,151.4962
245,167.1451
246,160.5724
247,159.7121
248,148.8976
249,158.1072
250,168.0381
251,162.0842
252,148.3714
253,165.9799
254,152.6573
255,150.3154
256,162.2287
257,163.9515
258,161.8629
259,147.8708
260,169.0654
261,159.8564
262,152.7748
263,165.7861
264,150.2638
265,159.6734
266,151.7042
267,168.2592
268,165.2488
269,153.3204
270,174.6660
271,169.6797
272,175.9280
273,169.9475
274,159.4947
275,159.5146
276,156.3022
277,152.0258
278,147.5809
279,163.1387
280,152.4536
281,140.5583
282,170.2118
283,167.1724
284,160.2994
285,167.0732
286,171.5315
287,149.7488
288,162.1461
289,161.1621
290,167.3803
291,144.8651
292,134.6130
293,157.9434
294,153.8120
295,139.5424
296,170.4190
297,148.3073
298,142.8976
299,157.6991
300,157.4940
301,161.8742
302,150.2831
303,147.6818
304,150.6037
305,148.8822
306,169.5258
307,148.4658
308,142.9267
309,156.6829
310,162.6509
311,149.9598
312,156.6896
313,142.4498
314,164.1055
315,154.6736
316,157.8771
317,176.1843
318,163.9108
319,142.6336
320,168.1154
321,168.2450
322,147.6092
323,159.1832
324,169.1911
325,148.6582
326,168.2482
327,172.0789
328,145.4837
329,168.9137
330,156.7842
331,155.4985
332,175.5247
333,173.3032
334,148.1083
335,156.8956
336,166.1481
337,170.3559
338,159.4537
339,161.4190
340,159.7188
341,158.4784
342,166.0191
343,145.1897
344,173.9003
